238,Gold,2006 Winter,Meghan Christina Agosta (-Marciano),Canada,Ice Hockey Women's Ice Hockey
239,Gold,2010 Winter,Meghan Christina Agosta (-Marciano),Canada,Ice Hockey Women's Ice Hockey
240,Gold,2014 Winter,Meghan Christina Agosta (-Marciano),Canada,Ice Hockey Women's Ice Hockey
241,Silver,2006 Winter,"Benjamin Alexandro ""Ben"" Agosto",United States-1,Figure Skating Mixed Ice Dancing
242,Gold,1964 Summer,Judit goston-Mendelnyi,Hungary,"Fencing Women's Foil, Team"
243,Gold,1928 Summer,Carlo Agostoni Faini,Italy,"Fencing Men's epee, Team"
244,Bronze,1932 Summer,Carlo Agostoni Faini,Italy,"Fencing Men's epee, Individual"
245,Silver,1932 Summer,Carlo Agostoni Faini,Italy,"Fencing Men's epee, Team"
246,Silver,1948 Summer,Carlo Agostoni Faini,Italy,"Fencing Men's epee, Team"
247,Bronze,1936 Summer,Erik Alfred gren,Sweden,Boxing Men's Lightweight
248,Gold,1906 Summer,Ioannis Agrimis,"Large boat, Central Naval Prep School ""Poros""-1",Rowing Men's 17-Man Naval Rowing Boats
249,Gold,1928 Summer,"Estella ""Stella"" Agsteribbe (-Blits)",Netherlands,Gymnastics Women's Team All-Around
250,Gold,2008 Summer,Sergio Leonel Agero del Castillo,Argentina,Football Men's Football
251,Gold,2000 Summer,"Taismary ""Tai"" Agero Leiva (-Botteghi)",Cuba,Volleyball Women's Volleyball
252,Bronze,1980 Summer,Jos Aguilar Pulsn,Cuba,Boxing Men's Light-Welterweight
253,Bronze,2012 Summer,Macarena Aguilar Daz,Spain,Handball Women's Handball
254,Silver,2016 Summer,Sandra Aguilar Navarro,Spain,Rhythmic Gymnastics Women's Group
255,Bronze,1992 Summer,Jorge Luis Aguilera Ruiz,Cuba,Athletics Men's 4 x 100 metres Relay
256,Silver,2016 Summer,Sri Wahyuni Agustiani,Indonesia,Weightlifting Women's Flyweight
257,Silver,2008 Summer,Robyn Mokihana Ah Mow-Santos,United States,Volleyball Women's Volleyball
258,Silver,1972 Winter,Kevin Joseph Ahearn,United States,Ice Hockey Men's Ice Hockey
259,Gold,1908 Summer,"Timothy Joseph ""Tim"" Ahearne",Great Britain,Athletics Men's Triple Jump
260,Bronze,1932 Summer,Bruno Valfrid Ahlberg,Finland,Boxing Men's Welterweight
261,Bronze,1980 Winter,Mats Bertil hlberg,Sweden,Ice Hockey Men's Ice Hockey
